gvkey,datadate,ticker,cusip,conm,saleq,revtq,cogsq,xsgaq,oiadpq,txtq,piq,atq,gross_margin,marketing_effi,roic,adj_price,rev_growth_yoy
001632,2011-01-31,ADI,032654105,ANALOG DEVICES INC,728.504,728.504,216.446,222.767,259.406,43.214,258.82,4596.905,0.7028897576403149,3.2702509797232087,0.8349206330316388,38.83,0.20816673106870365
137704,2011-01-31,OVTI,682128103,OMNIVISION TECHNOLOGIES INC,265.677,265.677,181.205,38.553,40.66,-2.608,42.11,971.763,0.3179499919074666,6.891214691463699,1.0253668274240306,25.83,0.6929110778347725
117768,2011-01-31,NVDA,67066G104,NVIDIA CORP,886.376,886.376,460.017,257.188,122.778,14.255,185.906,4495.246,0.48101370073196925,3.4464127408743797,0.6097896929090044,0.5980000000000001,-0.09782511338560884
137310,2011-01-31,MRVL,573874104,MARVELL TECHNOLOGY INC,900.513,900.513,343.538,298.307,220.464,3.345,226.198,6338.157,0.6185085612312093,3.0187457887344245,0.9602374644594561,19.01,0.06881375847887639
001704,2011-01-31,AMAT,038222105,APPLIED MATERIALS INC,2686.0,2686.0,1487.0,491.0,645.0,174.0,680.0,11274.0,0.4463886820551005,5.470468431771894,0.7058174740484429,15.69,0.452754121094574
006532,2011-01-31,XCRA,98400J108,XCERRA CORP,52.549,52.549,18.134,22.786,7.147,-0.148,4.557,263.844,0.6549125578031932,2.306196787501097,1.6192926801561514,,0.09477083333333325
009599,2011-01-31,SMTC,816850101,SEMTECH CORP,116.27,116.27,44.387,42.154,25.548,-0.389,25.614,659.943,0.6182420228777845,2.758219860511458,1.0125711586449222,21.835,0.3675766593349721
012234,2011-01-31,SIGM,826565103,SIGMA DESIGNS INC,70.605,70.605,28.564,33.606,1.291,-0.601,1.871,459.239,0.5954394164719212,2.1009641135511514,0.9116478953425958,13.93,0.03689072298180429
013200,2011-01-31,PLAB,719405102,PHOTRONICS INC,120.823,120.823,67.04,14.484,16.11,3.483,17.067,740.549,0.44513875669367586,8.341825462579399,0.751292124532759,6.59,0.23041437111113372
180711,2011-01-31,AVGO,11135F101,BROADCOM INC,550.0,550.0,244.0,123.0,142.0,1.0,120.0,1971.0,0.5563636363636364,4.471544715447155,1.1734722222222222,2.871,0.20614035087719307
